ID,SMILES,LogP
901,C1(N)=CC=C(C=C1Cl)CC=2C=C(C(N)=CC=2)Cl,5.381
902,N1C=2C(C(C3=CC=CC=C3)=NC1=NC)=CC=CC=2,4.931
903,O=C1NC(NC(=O)C1(CC)C(CCC)C)=S,4.157
904,COP(OC)(OC=1C=CC(SC)=CC=1)=S,5.197
905,CCN(C(C=1C=C(C=CC=1)OC2=CC=CC=C2)=O)C,4.377
906,N(C=1NCCN=1)C2=C(C=C(OC)C(Cl)=C2)OC,2.825
907,C1(C2=CC=CC=C2)=CC=CC=C1Br,6.062
908,C1CCCN1C(=O)OC2=CC=C(Cl)C=C2Cl,5.351
909,C=1(C(C)=NNC=1C(N(C)CC2=CC=CC=C2)=O)[N+]([O-])=O,3.033
910,O=S1(=O)N=C(NC2=C(C=C(C=C12)Cl)[N+](=O)[O-])C,2.207
911,C1=CC(=C(OC)C(OC)=C1)CC=2C(NC(NC=2)=N)=N,3.032
912,FC(F)(F)S(=O)(=O)NC1=CC=C(C=C1)OC,4.411
913,N=C1NC(=N)N=C(N1)C=2C(=CC=CC=2Cl)Cl,3.351
914,C1=C(C)N=C(C2=CC=CC=C2)C(C3=CC=CC=C3)=N1,4.604
915,N1C(=O)C(C(NC1=O)=O)(C2=CC=CC=C2)CC=C,2.737
916,C1(=CC(Cl)=C(C=C1[N+]([O-])=O)Cl)Cl,4.482
917,C=1C=C(N=CC=1N2C(C[N+]([O-])=O)=NCC2)Cl,1.057
918,C=C(N1C=CN=C1)C2=CC=CC=C2OCC=C,4.431
919,C1N(C)C(C(C)C(OC(=O)CC)(C1)C2=CC=CC=C2)C,4.412
920,O=C(OCC)CC(C1=CC=C(C=C1)Cl)CN,2.394
921,C1=C(NC(=O)NN)C(Br)=CC=C1,3.908
922,C(C)OP(OCC)(=O)OC1=CC=C([N+]([O-])=O)C=C1,3.527
923,C1(=C(Cl)C=CC=C1Cl)OC=2C=CC=CC=2,6.379
924,C1N(C)C(N(CC1O)C)=NC=2SC([N+](=O)[O-])=CN=2,1.114
925,C1CCCCN1CC(O)CN2C=CN=C2[N+](=O)[O-],3.956
926,CC(C)OC(=O)CC(C=1C=CC(Cl)=CC=1)CN,2.666
927,C1CCCCC1C=2C=CC(NC(=O)N(OC)C)=CC=2,5.485
928,C=1C=CC(NC(N)=NN=C(C)CCCC)=CC=1,3.779
929,C1=C([N+]([O-])=O)C=CC=C1NC(CC2=CC=CC=C2)=O,4.353
930,BrC=1C=CC=C(NC(OC)=O)C=1,3.05
931,CC(C)(C)C1(OC(C(O1)C(=O)N)C(=O)N)C,3.23
932,C1CCCCN1C(=O)COC(=O)C2=CC=CC=C2,3.403
933,CC(C)(C)C(O)C(CC(C(C)(C)C)=O)N1C=NC=N1,3.343
934,CN(C)CCOC(C=1C=CC=CC=1)C2=CC=CC=C2C,4.846
935,O=C1C(N(C(=O)NC1=O)CC2=CC=CC=C2)=O,2.89
936,C=1(C(C)=CC=CC=1C)NC(CCCCCN)=O,2.763
937,O=S(=O)(N)C=1C=CC(=CC=1)C(=O)OCCC,2.824
938,O=S(=O)(C=1C=CC(=CC=1)Cl)NC(=O)NC,1.915
939,OCC1C(C(C(O1)N2C=NC(=N)NC2=O)O)O,-0.803
940,C1=CC(=CC=C1)C(C=2C=CC=CC=2)=C(C#N)C#N,4.701
941,C1(C(Br)=C(NC(=O)N1OC(CC)C)C)=O,2.452
942,C12(CC3C(CC1C(=C)CCC2)C(C(=O)O3)=C)C,4.943
943,FC(F)(F)S(=O)(=O)NC=1C=C(C=CC=1)O,3.664
944,C1=NC2=C(N=CN2C3OC(CC3F)CO)C(N1)=N,1.439
945,C=1(C=CC=CC=1)C=2C(C3=CC=CC=C3)=[N+](ON=2)[O-],4.974
946,C(C)N(CC)CC(NC1=C(C=C(C)C=C1C)C)=O,3.552
947,C=1N=C(C(C#N)=CC=1C2=CC=NC=C2)OCC,3.958
948,C(C1=CC=C(C=C1)F)(C2=CC=CN=C2)(O)CC#C,3.494
949,O=C(OCC)CC(C=CC=1C(C)=CC=CC=1)=O,3.713
950,FC(F)(F)SC1=CC(OCC(=O)O)=CC=C1,4.005
951,ClC1=C(C(OC)=C(Cl)C(=C1Cl)Cl)OC,6.188
952,C1(C(=CC(NC(C)CC)=O)Cl)=CC=CC=C1,5.225
953,C12=NC3=CC(C)=CC=C3N=C1SC(S2)=O,5.197
954,C(OC(C)=O)COC1=CC=C(C2=CC=NC=C2)C=N1,2.849
955,C12(C(=CCC1=O)C(CC3OC(=O)C(=C)C3C2)C)C,2.369
956,C=1(C=NC(Cl)=CC=1)CCN2C(C[N+]([O-])=O)=NCC2,1.343
957,C=1(C2=CC=CC=C2)C(F)=CC(=CC=1)C(C(O)=O)C,5.391
958,C1=CC(=CC=C1Cl)NC(N)=NC(=NC)N,2.868
959,OC(=O)C(C)C1=CC=C(C(=C1)N)C=2SC=CN=2,3.725
960,N(N(C(NC1C=CCCC1)=O)CCCl)=O,3.916
961,CCCN(CCC)C(SCC=1C=CC=CC=1)=O,6.112
962,N1C(=N)NC(C(CC2=CC(=NC(OC)=C2)OC)=C1)=N,3.507
963,O=S(=O)([O-])CCC[N+](C)(C)CCCCCCC,-0.711
964,CN(C)CC(OCN1C=2C(=C(N=CN=2)O)C=N1)=O,1.087
965,C=1(C(=C(C(=C(Cl)C=1Cl)Cl)O)OC)Cl,4.567
966,C=1C=C(C(=CC=1)NC=2C=CC=C(C(C)=O)C=2)C(O)=O,5.346
967,CC(C)N=C(N)N=C(N)NC=1C=CC(Cl)=CC=1,3.796
968,C1(=CC=CC=C1)C2=C(NC(=NCC(C)O)C(C#N)=C2)C,4.237
969,CC(C)C1=C(C(C(C)CC)=CC(=C1)[N+]([O-])=O)O,5.707
970,C(C(=O)OC1=CC=C(CC(C(O)=O)N)C=C1)CCC,1.945
971,C(C=1C(=CC(=CC=1O)C(O)O[Ca])O)(CC)=O,-1.534
972,CCOC(=O)C(C(=O)OCC)=CC=1C(=CC=CC=1)C,4.342
973,CCOC(=O)C(C(=O)OCC)=CC1=CC=CC=C1F,4.214
974,CN(C)C(NS(=O)(=O)C1=CC=CC=C1)=O,1.835
975,C1=CC(=CC=C1)N2C(=O)CC(=O)N2C3=CC=CC=C3,3.166
976,CC(C)OC1=CC(=CC=C1)NC(C2=CC=CC=C2C)=O,5.228
977,C=1C=C(C(=CC=1)OC2CC(=O)N2)C(=O)C3=CC=CC=C3,3.223
978,C=1(C(=C(Cl)C=CC=1)C2=CC=C(C=C2)Cl)Cl,7.071
979,N(=CC1=CC=C(Br)C=C1)NC(N)=N,2.163
980,FC(F)(F)S(=O)(=O)NC1=CC=C(C=C1)Cl,5.414
981,C(=O)(OC1(C(CN(C(C)C1)C)C)C2=CC=CC=C2)CC,4.107
982,N1C=2N(C=NC=2C(N(C)C1=O)=N)CCOC(C)=O,0.513
983,C(CCCCC)CI,6.04
984,C1CN1P(N2CC2)(N(C)N=CC=3C=CC=CC=3)=O,2.109
985,CC(C)C(=O)NC1=CC=CC=C1S(=O)(=O)N,2.605
986,C=1C=C(C(OC(C)=O)=CC=1)C(OC2=CC=CC=C2)=O,4.381
987,C(C)OP(OCC)(OC1=CC=C(SC)C=C1)=O,4.247
988,CC(C)CC(C(=O)O)NC(C(CCC(=O)N)N)=O,-0.148
989,CN(C)CCOC(C=1C=CC(=CC=1)NCC)=O,4.789
990,CC(C)CCOC(=O)C1=CC(=O)NC(N1)=O,2.922
991,C1CC(CCC1)OC(=O)N2C=C(C(NC2=O)=O)F,2.868
992,OCC1C(O)C(C(N2N=C(N=C2)[N+](=O)[O-])O1)O,0.14
993,ClC=1C=C(NC(=O)C)C(=C(Cl)C=1F)F,5.301
994,C(C)S(C1=C(C#N)C(N)=C(C(C)=O)S1)=O,3.392
995,CC(OC(OC(C)=O)C=1OC([N+](=O)[O-])=CC=1)=O,2.59
996,N1N=C(C=2C=CC=C(OCC)C=2)C(N(C)C1=S)=O,4.248
997,C(N=C1NC(Cl)=NC(=NC(C)CC)N1)C,3.507
998,C1(=CC=CC=C1)C(NCC(=O)OC=2C=CC=C(C=2)N)=O,2.639
999,CC(C)CCOCC1=C(O)C(C)=NC=C1CO,2.25
1000,C1CN(CCC1)C(C2=CC=CC=C2OCC)=O,3.77
1001,N1C(=N)NC(C(CC2=CC(OC)=C(C(OC)=C2)N)=C1)=N,1.928
1002,N=C1NC2=C(C(N1)=O)NC(N)=C2CC3=CSC=C3,2.372
1003,O=S(=O)(C)C=1C(=CC=C(C=1)OCCC)[N+](=O)[O-],2.418
1004,C1=CC(C=2C=C(C#N)C(=NC=2C)OC)=CC=N1,3.467
1005,CN(C)CCOC(C=1C=CC(=CC=1)NCCC)=O,5.817
1006,C1=CC(=O)NC(=NCCSCC=2NC=NC=2C)N1,1.353
1007,CC(C)C=1N=C(SC=1)C2=CC=C(C=C2)C(C)C(O)=O,5.414
1008,O=C(C1=CC=CC=C1)NCC(=O)OC=2C=CC=CC=2,3.35
1009,N=C1NC(=N)C(=CN1)CC=2C=C(C(=CC=2)OC)N,2.29
1010,CC(C)(C)NC(NS(=O)(=O)C1=CC=CC=C1)=O,4.124
1011,O=S(=O)(N)C=1C=C(S(=O)(=O)N)C=CC=1,0.751
1012,C=1C=CC2=NN(N=C2C=1)C(CC)C(OCC)=O,4.71
1013,CCOC=1C(OCC)=CC=C(NC(OC)=O)C=1,3.35
1014,OCC1C(C(C(O)C(OC2=CC=CC=C2)O1)O)O,0.561
1015,C=1N=CC=C(C2=CNC(=NCC(C)O)C(C#N)=C2)C=1,2.309
1016,C1=C(F)C(N(C(C=2N=CC=CC=2)=O)C(=O)N1)=O,1.419
1017,C12=CC=C(C=C1C=CC=C2)OCCN3NC(C)=CC3=O,4.031
1018,C=1C=CC=C2C3(NC)CCC(CC3CC=12)CNC,4.032
1019,OCC1C(C(C(O)C(OC=2C=CC(=CC=2)N)O1)O)O,-1.16
1020,C1=C(Br)C=CC(NC(NNC(=O)C)=O)=C1,2.801
1021,C(=C(C(C)=O)C(OCC)=O)C1=CC=CC=C1Cl,4.307
1022,C1(=O)C=2C(=C(N)C=C(OC)C=2N)C(C3=CC=CC=C13)=O,4.948
1023,CC(C)NCC(C=1C=C(C(=CC=1)Cl)Cl)O,4.868
1024,N1C(=O)C(C(NC1=O)=O)(C(C)CCC)CC,4.132
1025,C(C)(=O)C(C(C)=O)=CC1=CC=C(C=C1)Br,4.1
1026,C1CCCN1C(OC=2C(=CC=CC=2)Cl)=O,5.491
1027,O=C(C(=CC=1C=CC=CC=1)SC)NC(C)CC,4.749
1028,CC(C)N=C1NC(NC(OC)=N1)=NC(C)C,5.546
1029,C(=O)(NC1=CC=C(OCC)C(=C1)OCC)OCC,3.473
1030,O=S(=O)(C=1C=CC=CC=1)CC(=O)C2=CC=C(C)C=C2,4.116
1031,N1C(C2=CC=CC=C2OCC)=NC(=N)NC1=N,2.292
1032,O=C1C=2C(=CC=CC=2Cl)C(=O)N(CC)C1=O,3.885
1033,C1COC2=CC=CC=C2OCCOCCOCCO1,2.213
1034,CC(C)C1C2CCCC=C2C3CCCCC3O1,7.607
1035,C=1C(=CC=CC=1)OC(=O)N2C(=O)NC(C(F)=C2)=O,1.707
1036,CN(C)CCC1CN(C)C(C2=CC=CN=C2O1)=S,2.238
1037,C(C)(=O)C(C(OCC)=O)=CC=1C=C(C=CC=1)OC,2.948
1038,CN(C)N=NC=1C=CC(=CC=1)CCCC(=O)O,3.638
1039,O=C(C1=CC=C(C=C1O)OC)C2=CC=CC=C2,5.19
1040,C(CCOC(C1=CC(O)=C(O)C(=C1)O)=O)CC,3.908
1041,C1=C(CC)SC(C2=CC=C(C=C2)C(C(O)=O)C)=N1,5.104
1042,C1=CC=C(C=C1)C2=CC=C(C3=CC=CC=C3)C=C2,6.882
1043,COCC(N(C(=O)CCl)C1=C(SC=C1C)C)C,3.479
1044,C=1C=CC=CC=1CC(NC=2C=CC(C)=CC=2)=O,4.261
1045,OC(=O)C(C1=CC=C(C=C1)C=2SC(=C(C)N=2)C)C,4.937
1046,CC(C)NNC(=O)COC1=CC=C(Cl)C=C1,3.498
1047,FC(F)(F)C(=O)C=CC=1C=CC(=CC=1)OC,4.326
1048,C(C)CN(CCC)C1CCOC=2C1=CC=CC=2O,4.355
1049,[N+]([O-])(=O)C1=CC=C(OCCN2CCCC2=O)C=C1,2.67
1050,C=1(C(=CC=CC=1)OC)C=C(C(C)=O)C(OCC)=O,3.84
1051,C1=C(N=C(CC#N)S1)C2=CC=C3OCCCOC3=C2,3.657
1052,C1CCCN1CC2=CC(COC=3C=CC=CC=3)=CC=C2,5.072
1053,O(C=1C=CC=CC=1)C=2C(Cl)=C(Cl)C=C(Cl)C=2,6.928
1054,C(CC(C(N)=O)N1N=NC=2C1=CC=CC=2)CC,3.408
1055,O=S(=O)(N)C=1C=CC(=CC=1)OCCCC,3.889
1056,BrC(Br)=CBr,5.792
1057,N1(CCOC2C=3C(CCC12)=C(C=CC=3)O)CCC,4.013
1058,CCN(CC)CCOC(C=CC1=CC=C(F)C=C1)=O,5.314
1059,C=1C=CC=CC=1C=2C(OCC(O)=O)=CC=CC=2,4.236
1060,O(C)P(OC)(OC1=CC=C([N+]([O-])=O)C(=C1)C)=O,3.059
1061,C1(=CC=CC=C1)CNNC(COC2=CC=CC=C2)=O,3.449
1062,ClC=1C(=C(Cl)C(Cl)=CC=1)OC2=CC=CC=C2,6.696
1063,C=1(C(C#N)=C(S(CC)=O)SC=1C(C)=O)Cl,3.735
1064,CC1CCCC(C)C1NC(=O)N(CCCl)N=O,3.918
1065,N1=C(SC=2C1=CC=CC=2)SC3CC(=O)N3,4.008
1066,CC(C)CS(C1=C([N+]([O-])=O)C=CS1)=O,4.099
1067,C=1(C=CC=CC=1)OCC(O)CN2C=CN=C2[N+]([O-])=O,2.858
1068,C=1(C(O)=CC=C(C=1)CC(N)C(=O)OCC(O)C)O,0.753
1069,C(CCOC=1C(=CC(Cl)=CC=1)C)C(=O)OCC,5.697
1070,C1=NC(C2=NC=3C(=CC=CC=3)N2C(OC)=O)=CS1,3.484
1071,C(ON=C1C(OCS1)CCOC)(=O)NC,1.019
1072,NC1=CC=CC=C1NC(NC(OC)=O)=S,2.063
1073,O=C(OCC(=O)N)CC1=CC2=CC=C(C=C2C=C1)OC,3.12
1074,C1(=CC=C(C=C1)NC(NNC(=O)C)=O)OCC,1.964
1075,ClC1=CC(NC(NNC(=O)C)=O)=CC=C1,3.035
1076,CC(C)(NC(=O)C=1C=C(C=C(Cl)C=1)Cl)C#C,4.466
1077,CC1CN=C(N=C2SC(=CN2)[N+]([O-])=O)N1,3.733
1078,C1(NC(NC(=O)C1(CC=C)C(C)CCC)=S)=O,4.936
1079,C1([N+](=O)N=C=[N-])=CC=CC(Br)=C1,4.124
1080,C=12C(=CC=CC=1)NC(=O)C=NC2C3=CC=CC=C3F,2.776
1081,C=1C(Cl)=C(C(=CC=1[N+]([O-])=O)Cl)NC=2NCCN=2,3.412
1082,C=1C=CC=CC=1CC(NC2=CC(=CC=C2)OC)=O,4.41
1083,O=S(=O)(C=1SC(N(C)N=1)=NC(C)=O)N,1.759
1084,N=C1NC(=N)C=2N=CN(C3CC(O)C(O3)CO)C=2N1,0.77
1085,OCC1C(C(C(O)C(OC2=CC(=CC=C2)C)O1)O)O,1.544
1086,O=C(C=1C(=O)C2=CC3=C(C=C2N(C=1)CC)OCO3)O,2.466
1087,C1(=CC=CC(OC=2C(=CC=C(C=2)C)C)=C1)C(NC)=O,4.855
1088,N=C1NC(=N)N=C(C2=CC=CC([N+]([O-])=O)=C2)N1,3.111
1089,O=C1C=2C(=CC=CC=2C(=O)N)C(=O)N(CC)C1=O,0.666
1090,C=1N=CC=C(C2=C(NC(C=C2)=NCCOC(C)=O)C)C=1,4.346
1091,N1(C2=C(C=CC=C2SC1=O)Cl)CC(=O)OCC,4.104
1092,C1=C(C2=C(C=CC=N2)C(I)=C1)O,4.658
1093,CC(C)CON1C(C(=C(C)NC1=O)Br)=O,3.068
1094,O=S(=O)(C)C1=CC=C(C=C1)N=NN(C)C,2.737
1095,C(CNC(=O)C=1C=C2C(C=C(O)C(O)=C2)=CC=1)CC,4.352
1096,O=S(=O)(C1=CC=C(C=C1)OC(=O)NC)C,1.454
1097,C12=CC(=CC=C1C(O)=C3C=CC=CC3=C2O)C=C,5.74
1098,O=S(=O)(CCC[N+](C)(C)CC=1C=CC=CC=1)[O-],-0.929
1099,N1C2=C(N(C=N2)CCOC=C)C(N(C)C1=O)=N,0.918
1100,NC(N)=NC(NC1=CC=C(C(=C1)Cl)C#N)=O,3.015
1101,CC(C)CC(NC(CNC(=O)C)=O)C(N)=O,0.457
1102,NNC(C1=CC=CC(=C1)I)=O,3.113
1103,O=S1(=O)CCCC=2C=C(SC1=2)S(=O)(=O)N,1.119
1104,C(=O)(NCCN1CCC2=C(C=CC=C2CC1)Cl)N,3.487
1105,C(CCCC)CNC(=O)C=1C=C(C(=CC=1)O)O,4.347
1106,C1=NC=2C(NC(=N)NC=2N1COCCOC(C)=O)=O,0.305
1107,C1(C=2C(OC(C(=O)O)=C1)=CC=3CCCCC=3C=2)=O,5.182
1108,C=1C(=CC=C(C=1)NC(NN)=O)I,2.47
1109,C1=CC=C2C(N(CCCCCC(OCC)=O)N=N2)=C1,3.928
1110,O=S(=O)(C1=CC=C(C=C1)N)C2=CC=C(C#N)C=C2,3.061
1111,CC(C)(C)C=1C(N(N)C(SCC)=NN=1)=O,3.059
1112,C(CI)CC1=CC=CC=C1,5.252
1113,CC(C)(C)C(C)OCC1=CN(C)C(C=NO)=N1,3.885
1114,C1=CC=C2C(=C1)N(C3=CC=CC=C3S2)CCN(C)C,5.614
1115,C1(=O)NC(NC(=O)C1(CC)C=2CCCCC=2)=O,3.231
1116,C(NC(CC1=CC=C(C=C1)O)C(NC)=O)(=O)C,1.173
1117,CN(C)CCOC(C1=CC=C(C=C1)CCCCCC)=O,6.815
1118,C1(NCCCC1)C(C=2C=CC=CC=2)C(OC)=O,1.858
1119,C=1(C=C2C(=CC=1)OCO2)C(=O)NNC(=S)N,1.675
1120,O=C(O)C=1C(=CC=C(C=2C(=CC(F)=CC=2)F)C=1)O,5.425
1121,ClC1=C(C(=CC=C1)Cl)C=[N+]([O-])C=2C=CC=CC=2,4.344
1122,C12=CC=CC=C1C(=O)C=C(Br)C2=O,4.07
1123,CC(C)SC1C(C(O)C(C(O1)CO)O)O,0.172
1124,C(#N)C1=CC=C(CC(NC=2C=CC=CC=2)=O)C=C1,4.503
1125,CC1(C)N(C(N)=NC(N)=N1)C=2C=CC(=CC=2)C(C)=O,1.408
1126,O=C(N1C(=O)NC(C(F)=C1)=O)OCCCC,2.268
1127,CN(C)C=1C(=CC=C(CC=2C(=N)NC(NC=2)=N)C=1)OC,2.733
1128,N1=CN(CC2=CC=CC=C2F)C=3N=CNC(=NC)C1=3,3.108
1129,N(C(NC#N)=NC)CCSCC1=C(NC=N1)C,1.541
1130,C(CCOC(C=1NC(=O)NC(=O)C=1)=O)CC,2.899
1131,C1(=CC=C(OC)C=C1OC)C=2NC=3C=NC=CC=3N=2,4.22
1132,C1([N+](=O)[O-])=CC=CC(=C1)I,3.939
1133,C1=CC(OC)=CC=C1OP(=O)(NC)OC,3.141
1134,C=CCN(CC=C)C(COC(=O)C=1C=CC=CC=1)=O,3.664
1135,O(C=1C(=CC(=CC=1)CC(=O)O)Cl)CC2=CC=CC=C2,5.325
1136,O=S(=O)(N)C1=CC=C(C=C1)NS(=O)(=O)C,0.706
1137,O=C1C=2C(=CC=C(C=2C(=O)C3=CC=CC=C13)N)N,4.003
1138,FC(F)(F)C1=CC(=C(C([N+](=O)[O-])=C1)Cl)[N+]([O-])=O,3.599
1139,C1(=C(SC(C#N)=C1Cl)S(=O)CCCC)C#N,4.826
1140,C1(=O)NC(NC(=O)C1(CC)C=2CC3CC(C=2)CC3)=O,3.916
1141,C1=C(SC(C2=CC=C(C=C2)C(C(O)=O)C)=N1)C,3.196
1142,C1=CC(NC(N1C2CC(N=[N+]=[N-])C(CO)O2)=O)=N,0.72
1143,OC(C1=CC=CN=C1)(CC#C)CC2=CC=CC=C2,3.09
1144,C1C(OC(C1O)CN)N2C=C(C)C(NC2=O)=O,-0.806
1145,OC(=O)C(C1=CC=C(C=C1)C=2SC=C(C(=O)C)N=2)C,3.692
1146,CC(C)(C)NC(NC=1C=CC(=CC=1)F)=S,3.617
1147,C1CC(CCO1)C=2C(N(C(=NN=2)SC)N)=O,2.082
1148,COP(OC)(SCC(N(C)C=O)=O)=S,2.772
1149,C=1C=C2C=CC=CC2=CC=1C(CC#C)(O)C3=CC=CN=C3,3.608
1150,C(=O)(C1NCCC1)NC(CC2=CC=CC=C2)C(O)=O,-0.615
1151,C=1C=2C(=CC=C(C=2C=C(C=1Cl)Cl)Cl)Cl,7.556
1152,C1(N(C)C(NC(OCC)=O)=NC1)C=2C=CC(=CC=2)CO,1.785
1153,FC(F)SC1=NC(NC(N1)=NCCCC)=NC,4.969
1154,O=S(=O)(N)C=1C=CC(SCCC(C)(C)O)=CC=1,3.912
1155,C1=CC=C(C=C1)C(C(=O)O)OCC2=CC=CC=C2,3.612
1156,O=S(=O)(N)C=1C=CC(=CC=1)S(=O)(=O)N,0.384
1157,OC=1C(C)=CC(Br)=CC=1C(=O)N,4.333
1158,N1=C(N(C)C([N+]([O-])=O)=C1)C2=CC=C(C=C2)C(OC)=O,2.484
1159,N12CN(CCCC)C(C)C1=NC=3C(=CC=CC=3)C2=O,2.954
1160,ClC1=CC=C(NC(COC)=O)C=C1Cl,4.329
1161,ClC(Cl)C(=O)N1C2=CC=CC=C2OCC1C,4.025
1162,CC(C)C1=NN=C(SCCCC)N(N)C1=O,4.638
1163,C1(=C(NC(Cl)=C(C1=N)Cl)C(O)=O)Cl,1.762
1164,C1CCCCN1C2SC(=NC2=O)CC(=O)OCC,4.06
1165,N1CC(NCC1)C(=O)NC=2C(C)=CC=CC=2C,1.838
1166,N=C1NC(=N)C(=CN1)CC=2C=C(C(=CC=2)SC)OC,4.011
1167,C(N(N=O)C(N)=O)CCCCCN(N=O)C(N)=O,1.633
1168,ClC(Cl)C(=O)NC1=CC=CC=C1C(=O)N,3.739
1169,C1N(CCOC)CCC=2C(=C(C=CC=2)Cl)C1,4.639
1170,O=S(=O)(CCN1C(C)=NC=C1[N+](=O)[O-])CC,1.041
1171,ClC1=CC=C(NC(NC(=N)N)=O)C=C1Cl,3.823
1172,C1CN(CCC1)CC(NCC2=CC=CC=C2)=O,3.526
1173,CCN(CC)CCN(C=1C(=CC=CC=1C)C)C=O,4.803
1174,C(=O)(OC1(C(CN(C)CC1)CC)C2=CC=CC=C2)CC,5.037
1175,C=1C=C(C=CC=1N)C2=NC3=CC=C(C=C3S2)OC,3.539
1176,N(C)C(=O)N(C)C(=O)NC1=CC(CC)=CC=C1F,5.191
1177,C=1C=C(C(=CC=1Cl)CC=2C(=CC=C(Cl)C=2)O)O,5.543
1178,C1(=CC=CC=C1)C(NC2=CC(=CC=C2)OCC(=O)O)=O,3.265
1179,C1(=O)NC(NC(=O)C1(CC)C=2C=CC=CC=2)=O,2.488
1180,O=C1C=2C(=CC=CC=2C(=O)N(CC)C1=O)[N+](=O)[O-],2.266
1181,C1=2C=CC3=C(C4=C(C=CC5=CC=CC=C45)N3)C1=CC=CC=2,7.878
1182,C1(N(C)C(NC(OC)=O)=NC1)C=2C=CC(=CC=2)C=O,2.623
1183,C1(C(Cl)C(C(C(Cl)C1C)Cl)C)Cl,5.637
1184,C=1N=CC=C(C2=CNC(C(C#N)=C2)=NC(CO)CC)C=1,2.515
1185,C1=2C(C=3C(C=4C1=CC=CC=4)=CC=CC=3)=CC=CC=2,6.958
1186,[N+]([O-])(=O)C1=CC=C(CC(=NC=O)C(OCC)=O)C=C1,3.71
1187,C(C=1C=C(C(=CC=1)O)O)CCCCCCCCCC,8.501
1188,N(C)C(=O)N(C)C(=O)NC=1C(=CC=C(OC)C=1)F,3.279
1189,C1=CC(C2N(C)C(NC(OC)=O)=NC2)=CC=C1Cl,3.702
1190,C1CSC(S1)=C(C(=O)OC(C)C)C(=O)OCC,4.191
1191,N1C(C2=NC3=CC=CC=C3C2=O)=C(O)C4=CC=CC=C14,5.01
1192,C1=CC(=CC(N1)=NCCOC)C=2NNC(=N)N=2,2.399
1193,C1(=CC(=CC=C1OC)C(=O)CCCC(=O)O)Cl,3.8
1194,C1(Cl)C=C(Cl)C(C(C1Cl)Cl)Cl,5.137
1195,CN(C)S(=O)(=O)C1=CC=C(C=C1)N(C(C)=O)C,0.656
1196,CCN1C(=O)C(=O)C=2C(=CC(Cl)=CC=2)C1=O,3.265
1197,N1C2=C(C(N=C1C)=N)N=CN2C3OC(CC3F)CO,1.339
1198,BrC1=C(C(NC2=NCCN2)=CC=C1)C,3.446
1199,C1(=CC=C(C=C1)C(NN=CC2=CC=CC=C2O)=O)OC,4.752
1200,CC(C)OC(C=1C(=CC=CC=1)C(=O)OC(C)C)=O,4.313
1201,O=S1(=O)C2=CC=CC=C2NC(=N1)C3CCCCC3,3.649
1202,CC(C)N=C1NC(=NCCCOC)NC(SC)=N1,3.682
1203,BrC=1C=CC=C(OC(=O)NC)C=1,3.527
1204,C=12C(=CC3=CC=CC=C3N=1)C4=C(C=CC=C4)C=C2,5.974
1205,C(CCC1CCCC2=NC=C(C(OC)=O)C(N12)=O)C,3.304
1206,C1CN(CCN1CCNC(C)=O)C2=CC=CC=C2OC,1.923
1207,N1=C(C=2N=CN(C=2NC1=N)C3CCC(CO)O3)Cl,1.626
1208,O=S(=O)(C=1SC=2C(=CC=C(Cl)C=2)N=1)N,3.456
1209,O=S(=O)(NC(=O)NCCC)C=1C=CC(=CC=1)Cl,3.779
1210,O=S(=O)(C=1C=CC(=CC=1)SCCCO)N,2.61
1211,C1=C(C=C(O)C(C(OC=2C=C(F)C=CC=2)=O)=C1)N,4.835
1212,C(CCCN1C(=C(C(C=C1)=O)O)C)CCCC,4.119
1213,C=1C2=NN(N=C2C=CC=1)CCCOC(CC)=O,4.337
1214,O=S1(=O)N=C(NC=2C1=CC=CC=2)CC3=CC=CC=C3,3.436
1215,C(#N)C1=CC=C(C=C1)N=NN(C)CC2=CC=CC=C2,5.086
1216,[N+](C=1C=C2C(=CC=1)C3=CC=C([N+](=O)[O-])C=C3C2)(=O)[O-],4.475
1217,C=1(N(C([N+](=O)[O-])=CN=1)CCNC(OC)=S)C,3.25
1218,N1(C(=O)NC(C(F)=C1)=O)C(=O)NC=2C=CC=CC=2,3.626
1219,ClC1=CC=C(C=C1Cl)NC(=O)CC#N,4.009
1220,N(C(C=1C=C(C=CC=1)OC2=CC=CC=C2)=O)(C)CCC,4.887
1221,C=1NC(=N)N=C(C=1)C=CC=2N(C)C([N+]([O-])=O)=CN=2,2.447
1222,C1=C(OC(C=CC(OC(CC)C)=O)=C1)[N+]([O-])=O,4.368
1223,C12=CC=CC=C1CCC3CCC(CC23NC)O,3.895
1224,FC(F)(F)C1=CC(Cl)=C(C(NC(=O)C)=C1)Cl,4.548
1225,CC1(C)CC(C(C(O1)=O)C(CCC)=NOCC)=O,3.816
1226,C=1N=C(CSCCNC(C[N+](=O)[O-])=NC)SC=1,1.419
1227,C1=C(Cl)C=C(C(=O)NC2=CC=CC=C2C)C(=C1)O,5.198
1228,CC(C)OC(=O)C=CC=1OC([N+](=O)[O-])=CC=1,3.78
1229,C1(C2=CC(=CC=C2)OCC(O)=O)=CC=CC=C1,4.575
1230,C(C)N(CC)CCNC(C=1C(OC)=CC=CC=1)=O,3.674
1231,CC(C)OC(C(N)CC1=CC=C(C(=C1)O)O)=O,2.003
